# Format:
#   Field 0: Unicode code point value
#   Field 1: Assigned Mongolian Free Variation Selector (FVS)
#   Field 2: Cursive joining position
#   Field 3: Written units
#   Field 4: If the variant is contextually determined

# MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER

1807 ;      ; medi ; A     ;

# MONGOLIAN LETTER A

1820 ;      ; medi ; A     ;
1820 ;      ; fina ; A     ;

1820 ; FVS1 ; isol ; A A   ;   placeholder
1820 ; FVS1 ; init ; A A   ;   placeholder

1820 ; FVS2 ; isol ; A     ; ¬ placeholder
1820 ; FVS2 ; init ; A     ; ¬ placeholder

1820 ; FVS3 ; isol ; Á     ;                 chachlag

# MONGOLIAN LETTER E

1821 ;      ; init ; A     ;
1821 ;      ; medi ; A     ;
1821 ;      ; fina ; A     ;

1821 ; FVS1 ; isol ; A     ;

1821 ; FVS2 ; isol ; Á     ;   chachlag

# MONGOLIAN LETTER I

1822 ;      ; fina ; I     ;

1822 ; FVS1 ; isol ; A I   ;   placeholder
1822 ; FVS1 ; init ; A I   ;   placeholder
1822 ; FVS1 ; medi ; I     ; ¬ placeholder

1822 ; FVS2 ; isol ; I     ; ¬ placeholder
1822 ; FVS2 ; init ; I     ; ¬ placeholder
1822 ; FVS2 ; medi ; I I   ; ¬ placeholder   devsger

# MONGOLIAN LETTER O

1823 ;      ; isol ; A O   ;
1823 ;      ; init ; A U   ;
1823 ;      ; medi ; U     ;

1823 ; FVS1 ; fina ; U     ; ¬ marked

1823 ; FVS2 ; fina ; O     ;   marked

# MONGOLIAN LETTER U

1824 ;      ; medi ; U     ;

1824 ; FVS1 ; isol ; A O   ;   placeholder   marked
1824 ; FVS1 ; init ; A U   ;   placeholder ? marked
1824 ; FVS1 ; fina ; U     ; ¬ placeholder ¬ marked

1824 ; FVS2 ; isol ; U     ; ¬ placeholder ¬ marked
1824 ; FVS2 ; init ; U     ; ¬ placeholder ¬ marked
1824 ; FVS2 ; fina ; O     ; ¬ placeholder   marked

# MONGOLIAN LETTER OE

1825 ;      ; isol ; A Ü   ;
1825 ;      ; init ; A U I ;

